,teamName,stars,year
904,Clayton State University,2,2015
905,Clemson,2,2015
906,Cleveland State,4.5,2015
907,Cloud County Community College,2,2015
908,Coastal Carolina,2.5,2015
909,Coffeyville Community College,4,2015
910,Colgate,5,2015
911,College of Central Florida,6.7,2015
912,College of Charleston,2.5,2015
913,College of Southern Idaho,2,2015
914,Colorado,3,2015
915,Colorado State,8.7,2015
916,Columbia State Community College,4,2015
917,Columbus State University,2.7,2015
918,Connors State College,2,2015
919,Creighton,8.3,2015
920,Dallas Baptist University,4,2015
921,Dalton State College,2.5,2015
922,Dartmouth,3,2015
923,Davenport University,2,2015
924,Dayton,4,2015
925,Daytona State College,2,2015
