,teamName,year,returningMins%,wins,totalGames,OE,DE,sos,adjTempo
3827,Georgia,2014,57.56,15.0,32,100.90275678074,94.435148252092,26.094459375,62.285139087098
3828,Georgia,2015,72.66,20.0,34,107.87012237516,99.040672290784,24.867747058824,64.507201875678
3829,Georgia,2016,58.16,21.0,33,107.5479837142,92.504451422294,30.885256060606,64.840104142043
3830,Georgia,2017,70.6,20.0,34,108.19584450423,96.426478691672,29.174579411765,67.871109876751
3831,Georgia,2018,76.54,18.0,33,107.78643129483,95.850698964492,33.94943030303,68.478191410318
3832,Georgia,2019,68.92,18.0,33,107.48812573668,95.199366976227,32.000718181818,65.610368156915
3833,Georgia,2020,46.4107179416,11.0,32,105.76283491564,101.26498099471,30.924571875,68.643680741071
3834,Georgia,2021,35.9559562211,15.0,31,108.73022851795,100.10218030036,27.47744516129,70.299329656573
3835,Georgia,2022,5.75999991276,13.0,25,107.73568391357,99.787013074173,29.080972,73.063949498865
3837,Morgan St.,2011,40.3280660975,27.0,37,102.99881894501,103.22407146641,12.964294594595,70.041952191488
3838,Morgan St.,2012,80.8,17.0,31,93.052542087645,100.16614698797,9.9787516129032,67.411464008568
3839,Morgan St.,2013,47.44,9.0,29,97.92318125781,105.11867597327,12.057372413793,66.855068913961
3840,Morgan St.,2014,84.12,17.0,32,97.475977010083,101.33227667484,8.885834375,67.497631861396
3841,Morgan St.,2015,45.2,15.0,31,99.826460461808,105.31175897931,12.987964516129,69.595482049642
3842,Morgan St.,2016,50.64,7.0,31,92.497953056322,111.14338195467,12.508806451613,65.042672222711
3843,Morgan St.,2017,46.5,8.0,30,94.015974960739,107.23196904843,11.148436666667,69.928992383336
3844,Morgan St.,2018,81.82,13.0,29,91.631669360672,105.64186844842,6.5773931034483,69.183715787074
3845,Morgan St.,2019,54.0,11.0,30,95.430402527033,111.25790393837,7.3661566666666,69.958650774328
3846,Morgan St.,2020,64.6764174956,8.0,28,92.971824710311,112.21163607568,9.6117535714286,72.101490164082
3847,Morgan St.,2021,69.1323466887,12.0,28,91.782053768058,106.8761547908,8.0652821428571,69.806584587935
3848,Morgan St.,2022,69.9860031225,12.0,19,99.918762081623,105.67985337463,5.9292684210526,71.416028367954
3850,Saint Mary's,2011,65.0800000659,27.0,33,114.73122217876,97.300110096272,21.377575757576,67.56343396543
3851,Saint Mary's,2012,80.38,23.0,32,116.46516131171,100.64730600603,20.078215625,66.088830723458
3852,Saint Mary's,2013,67.66,25.0,31,111.19153056179,98.260285940398,18.273870967742,64.651341012748
3853,Saint Mary's,2014,60.18,27.0,34,113.94246529007,94.918714211814,21.430758823529,64.798735058714
3854,Saint Mary's,2015,35.28,22.0,34,111.87940870038,99.808924563763,20.176682352941,63.256249585193
3855,Saint Mary's,2016,25.68,20.0,30,109.96033460536,97.671459457881,20.53871,63.1869031164
3856,Saint Mary's,2017,98.16,28.0,34,117.72698742318,98.649036391318,17.201873529412,62.506252487288
3857,Saint Mary's,2018,67.68,29.0,34,118.02952666273,93.817474039675,19.870326470588,61.217757416648
3858,Saint Mary's,2019,35.66,30.0,36,118.77380024447,102.38954255141,12.993030555556,64.608339679912
3859,Saint Mary's,2020,85.6742700271,22.0,34,114.11656558805,97.413288679128,22.956541176471,62.559649857824
3860,Saint Mary's,2021,41.2412416358,25.0,33,114.0214713928,98.814783267809,24.057303030303,63.810328998244
3861,Saint Mary's,2022,99.3202718746,14.0,24,99.780852368345,90.283548817527,28.3847625,63.359424263941
3863,Boston College,2011,76.395279308,15.0,31,110.95302539459,98.0586514277,31.358977419355,65.662505285632
3864,Boston College,2012,12.58,21.0,34,115.81705092604,102.68622525272,28.554297058824,63.825488197672
3865,Boston College,2013,58.3,9.0,31,95.457111333634,100.1629544806,23.970706451613,65.191698199962
3866,Boston College,2014,95.88,16.0,33,108.60387876016,101.96900612822,27.361381818182,64.152597856389
3867,Boston College,2015,67.08,7.0,31,114.51011829599,109.82032776876,32.8203,63.183834150155
3868,Boston College,2016,20.64,13.0,32,108.62409756084,99.035055801348,31.742325,63.896092976186
3869,Boston College,2017,45.14,7.0,32,95.094376295239,99.209605271137,31.1185625,67.782192394404
3870,Boston College,2018,52.86,9.0,32,104.09514828333,101.88958594881,32.196203125,72.497633072604
3871,Boston College,2019,78.94,19.0,35,112.61806055652,102.75332541253,30.43502,70.888347555321
3872,Boston College,2020,55.9400000267,14.0,31,107.08056687607,102.67399752916,27.569561290323,67.257138218471
