teamName,year,prev_3s_recruits,prev_4s_recruits,prev_5s_recruits,curr_3s_recruits,curr_4s_recruits,curr_5s_recruits,seed_points,NIT,R64,R32,S16,E8,F4,F2,CHMP,returningMins%,sos,adjTempo,win ratio,overall efficiency,stars,label
Arizona St.,2020,1,3,0,5,1,0,1.146041417,0,1,0,0,0,0,0,0,0.620372221,0.219084735,0.919780199,0.676470588,0.910769226,-0.845030615,1
Arizona St.,2021,5,1,0,1,2,1,1.406144143,0,1,0,0,0,0,0,0,0.583233293,0.275618484,1.751801262,0.64516129,0.982242458,1.073661532,1
Arkansas,2013,1,3,1,4,1,0,-0.414574936,1,0,0,0,0,0,0,0,0.6002,0.227555094,0.995261416,0.5625,0.395950524,-0.045575554,0
Arkansas,2014,4,1,0,1,1,1,-0.414574936,1,0,0,0,0,0,0,0,0.652,0.262991406,1.181858474,0.59375,0.856793104,0.114315458,0
Arkansas,2015,1,1,1,3,1,0,-0.414574936,1,0,0,0,0,0,0,0,0.6392,0.244173147,1.681033971,0.647058824,1.193860121,-0.205466566,0
Arkansas,2016,3,1,0,0,1,0,2.706657771,0,0,1,0,0,0,0,0,0.3664,0.275907014,0.766379264,0.75,1.448403183,1.073661532,1
Arkansas,2017,0,1,0,3,3,0,-0.414574936,1,0,0,0,0,0,0,0,0.5248,0.260053938,1.09278092,0.5,0.874093947,-0.845030615,0
Arkansas,2018,3,3,0,3,1,0,1.926349594,0,0,1,0,0,0,0,0,0.621,0.308772417,1.085641501,0.722222222,1.260491265,0.018380851,1
Arkansas,2019,3,1,0,7,0,0,2.18645232,0,1,0,0,0,0,0,0,0.1958,0.3144012,1.121683803,0.657142857,1.358712637,-0.205466566,1
Arkansas,2020,7,0,0,1,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.793841232,0.302452971,0.924586564,0.529411765,1.022885501,3.567961324,0
Arkansas,2021,1,0,0,0,4,0,-0.414574936,1,0,0,0,0,0,0,0,0.182399999,0.233126438,1.102861832,0.625,1.071586811,2.896419072,0
Arkansas Pine Bluff,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4808,0.116034455,-0.395595121,0.333333333,-1.710990183,-0.205466566,0
